SubDistrictCode,AnimalTotal
610112,595
410203,1075
661101,1239
430205,1444
710107,3695
700715,18327
550903,57
800415,58
460201,76
300703,108
770401,114
440907,120
400912,130
600310,130
700515,157
550103,221
800603,253
720202,280
700505,285
800401,404
630107,689
521001,743
900701,758
770407,1053
650116,1318
500108,105
450210,106
480110,118
920120,127
450207,130
310203,134
610609,140
550709,155
720907,174
301412,260
720207,263
370503,313
801001,411
800707,427
720909,5475
201102,10613
700602,39
330301,70
330603,103
570905,105
801903,135
270609,177
270612,177
461204,177
332002,210
331305,360
640611,698
412404,761
332101,3200
302401,48
490706,146
411902,152
452005,186
410618,192
412203,200
390501,222
940215,238
471220,301
571603,450
401507,781
311604,1329
910302,3815
411709,5324
160123,7331
430502,109
402401,185
920114,200
540401,236
330307,291
550703,446
250303,547
610204,602
350812,1941
930401,2349
820406,5172
490110,7195
700105,131826
401617,56
170601,146
560802,148
330902,193
560601,212
451012,288
841712,303
461208,310
640801,396
300109,398
350103,650
640702,919
160701,5575
420303,5732
620112,19085
530504,110
390207,111
850404,128
450611,139
901008,164
451702,176
490701,191
402201,204
920119,226
401405,228
320713,244
361307,259
860504,275
302106,301
610602,310
400503,341
401304,344
670409,346
331304,449
520701,462
640901,469
330314,479
601303,517
520110,585
720302,4973
710301,40441
411704,102
820705,157
770504,198
330201,201
610611,201
330402,235
450701,255
400102,257
410113,284
361306,308
801602,352
481101,362
521205,1814
730123,7289
330104,187
312202,227
330311,331
331203,360
301502,369
471221,404
502202,479
610302,954
470404,8022
302403,107
461802,136
760702,202
450303,239
360805,242
440410,242
760403,285
530602,331
440110,336
570603,383
